feature,sanity_lower_bound,sanity_upper_bound,synth_min,synth_max,pct_near_lower_bound,pct_near_upper_bound,pct_boundary_violations
heart_rate,20.0,250.0,22.64978790283203,153.2301483154297,0.03853564547206166,0.0,0.0
respiratory_rate,2.0,80.0,-0.2951526641845703,40.11867904663086,0.16377649325626203,0.0,0.0032113037893424234
spo2,50.0,100.0,89.97209167480469,103.05558776855469,0.0,29.816955684007706,1.9444444444444429
systolic_bp,40.0,250.0,27.989593505859375,201.91400146484375,0.03371868978805395,0.0,0.006422607578684847
diastolic_bp,20.0,150.0,14.115123748779297,110.38712310791016,0.0674373795761079,0.0,0.011239563262691377
