epoch,train_mse,val_mse,train_mae,val_mae,grad_norm,diffusion_mean,learning_rate
1,1.038669,0.972761,0.771838,0.769022,16.494339,0.473459,1.000000e-03
2,1.024601,0.931186,0.776876,0.748251,15.045229,0.465295,1.000000e-03
3,1.014828,0.937543,0.764232,0.750909,2.914573,0.466449,1.000000e-03
4,0.943778,0.949802,0.741377,0.755078,1.824060,0.468906,1.000000e-03
5,1.040923,0.937086,0.786117,0.751259,3.825778,0.447844,1.000000e-03
6,0.972671,0.944751,0.751464,0.755552,1.567044,0.457809,1.000000e-03
7,0.953623,0.937238,0.746434,0.752706,1.649107,0.458404,1.000000e-03
